s_nm,s_long,s_lat
다대포해수욕장(1호선),128.965919,35.048429
다대포항(1호선),128.971251,35.057288
낫개(1호선),128.979932,35.065179
신장림(1호선),128.976638,35.074222
장림(1호선),128.977638,35.081555
동매(1호선),128.974029,35.089819
신평(1호선),128.96056,35.09556
하단(1호선),128.96667,35.10611
당리(1호선),128.97417,35.10333
사하(1호선),128.98333,35.09972
괴정(1호선),128.9925,35.099922
대티(1호선),128.99972,35.10306
서대신(1호선),129.01194,35.11083
동대신(1호선),129.01778,35.11056
토성(1호선),129.01972,35.10083
자갈치(1호선),129.02694,35.0975
남포(1호선),129.03472,35.09778
중앙(1호선),129.03639,35.10389
부산(1호선),129.03972,35.11528
초량(1호선),129.04296,35.12111
부산진(1호선),129.04778,35.12778
좌천(1호선),129.05417,35.13417
범일(1호선),129.05944,35.14139
범내골(1호선),129.05917,35.14722
서면(1호선),129.05917,35.15778
부전(1호선),129.06278,35.1625
양정(1호선),129.07119,35.17304
시청(1호선),129.07667,35.17972
연산(1호선),129.08167,35.18611
교대(1호선),129.08,35.19583
동래(1호선),129.07861,35.20556
명륜(1호선),129.07944,35.21222
온천장(1호선),129.08667,35.22056
부산대(1호선),129.08944,35.229927
장전(1호선),129.08806,35.23806
구서(1호선),129.09139,35.24722
두실(1호선),129.09139,35.25694
남산(1호선),129.0925,35.26528
범어사(1호선),129.09278,35.27333
노포(1호선),129.095,35.28361
장산(2호선),129.17694,35.169914
중동(2호선),129.16617,35.16669
해운대(2호선),129.1745,35.18183
동백(2호선),129.14575,35.16147
벡스코(2호선),129.13631,35.16919
센텀시티(2호선),129.12947,35.16892
민락(2호선),129.11978,35.16722
수영(2호선),129.11242,35.16778
광안(2호선),129.11097,35.15792
금련산(2호선),129.10883,35.14989
남천(2호선),129.10797,35.14217
경성대·부경대(2호선),129.10055,35.13757
대연(2호선),129.09218,35.13512
못골(2호선),129.08442,35.13472
지게골(2호선),129.07436,35.13558
문현(2호선),129.06736,35.13911
국제금융센터·부산은행(2호선),129.06672,35.14583
전포(2호선),129.06533,35.15311
서면(2호선),129.05917,35.15778
부암(2호선),129.05019,35.15744
가야(2호선),129.04283,35.15589
동의대(2호선),129.0325,35.15411
개금(2호선),129.02056,35.15325
냉정(2호선),129.01228,35.15125
주례(2호선),129.00306,35.1505
감전(2호선),128.99114,35.15553
사상(2호선),128.98467,35.16218
덕포(2호선),128.98394,35.17378
모덕(2호선),128.98561,35.18036
모라(2호선),128.98864,35.18967
구남(2호선),128.99492,35.19681
구명(2호선),128.99931,35.20253
덕천(2호선),129.00533,35.21011
수정(2호선),129.00922,35.22336
화명(2호선),129.00767,35.2345
율리(2호선),129.01292,35.24672
동원(2호선),129.01242,35.25864
금곡(2호선),129.01686,35.26733
호포(2호선),129.01725,35.281
증산(2호선),129.01028,35.30828
부산대양산캠퍼스(2호선),129.01383,35.31697
남양산(2호선),129.01942,35.32533
양산(2호선),129.02673,35.33851
수영(3호선),129.11458,35.16775
망미(3호선),129.10822,35.17153
배산(3호선),129.0955,35.1735
물만골(3호선),129.08575,35.17681
연산(3호선),129.08147,35.18614
거제(3호선),129.07394,35.18858
종합운동장(3호선),129.0675,35.19125
사직(3호선),129.065,35.199
미남(3호선),129.06806,35.2055
만덕(3호선),129.0365,35.213
남산정(3호선),129.02392,35.21333
숙등(3호선),129.01275,35.21197
덕천(3호선),129.00525,35.21039
구포(3호선),128.99711,35.20544
강서구청(3호선),128.98175,35.21125
체육공원(3호선),128.96894,35.21261
대저(3호선),128.95994,35.21353
미남(4호선),129.06868,35.20643
동래(4호선),129.07861,35.20556
수안(4호선),129.08378,35.20183
낙민(4호선),129.09078,35.20025
충렬사(4호선),129.09764,35.19986
명장(4호선),129.10161,35.20503
서동(4호선),129.10769,35.21331
금사(4호선),129.11517,35.21583
반여농산물시장(4호선),129.12397,35.21778
석대(4호선),129.13717,35.21825
영산대(4호선),129.14617,35.22578
동부산대학(4호선),129.15403,35.2325
고촌(4호선),129.1605,35.23603
안평(4호선),129.17183,35.23733
부전(동해선),129.060172,35.164556
거제해맞이(동해선),129.0692,35.182247
거제(동해선),129.075517,35.190892
교대(동해선),129.080025,35.195553
동래(동해선),129.089756,35.197572
안락(동해선),129.103803,35.195961
재송(동해선),129.120103,35.189536
센텀(동해선),129.124972,35.179167
벡스코(동해선),129.135833,35.171667
신해운대(동해선),129.177087,35.181674
송정(동해선),129.199931,35.180928
오시리아(동해선),129.20829,35.196247
기장(동해선),129.218841,35.243785
일광(동해선),129.2333,35.265548
